epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.5058628262876399,0.49610639925329125,0.49604743083003955,0.505541346973572,0.505541346973572
1,0.645376718462321,0.6453352345723197,0.6453329146824358,0.6453537936913896,0.6453537936913896
2,0.7659064360248573,0.7654868135589621,0.7654902223071998,0.7655583972719523,0.7655583972719523
3,0.8790220963013193,0.8780183809927421,0.8780208632544204,0.8780903665814151,0.8780903665814151
4,0.9471651815627272,0.9471436140416777,0.9471437292865865,0.9471440750213129,0.9471440750213129
5,0.9566830731758631,0.9565182629653766,0.956518578980382,0.9565217391304348,0.9565217391304348
6,0.9787220740838692,0.9786868172250048,0.9786868791849485,0.9786871270247229,0.9786871270247229
7,0.9855086367508727,0.9855072253106144,0.9855072042444173,0.9855072463768116,0.9855072463768116
8,0.9923287858435831,0.9923273545762077,0.9923273434235151,0.9923273657289002,0.9923273657289002
9,0.9906351321653404,0.9906222541037525,0.9906222268413774,0.9906223358908781,0.9906223358908781
